experiment,scenario,model,warmup_s,distance_m,valid_per_s,valid_rate_pct,seeds
three_model,A,zero-accel,0,2,7.846,55.60,4
three_model,A,normal,0,2,7.764,55.39,4
three_model,A,current,0,2,4.074,56.19,4
three_model,A,zero-accel,0,4,7.268,50.24,4
three_model,A,normal,0,4,7.115,49.52,4
three_model,A,current,0,4,5.636,54.93,4
three_model,A,zero-accel,0,6,7.772,52.66,4
three_model,A,normal,0,6,7.800,52.90,4
three_model,A,current,0,6,6.429,54.92,4
three_model,A,zero-accel,0,8,8.276,54.57,4
three_model,A,normal,0,8,8.415,56.29,4
three_model,A,current,0,8,6.418,54.37,4
three_model,B,zero-accel,0,2,8.283,49.75,4
three_model,B,normal,0,2,8.283,49.75,4
three_model,B,current,0,2,3.396,50.94,4
three_model,B,zero-accel,0,4,7.088,47.57,4
three_model,B,normal,0,4,7.088,47.57,4
three_model,B,current,0,4,5.031,50.31,4
three_model,B,zero-accel,0,6,7.354,49.01,4
three_model,B,normal,0,6,7.354,49.01,4
three_model,B,current,0,6,5.699,49.48,4
three_model,B,zero-accel,0,8,8.539,55.05,4
three_model,B,normal,0,8,8.539,55.05,4
three_model,B,current,0,8,5.929,51.46,4
warmup_scan_normal,A,normal,0,2,7.817,55.77,1
warmup_scan_normal,A,normal,60,2,7.911,55.47,1
warmup_scan_normal,A,normal,120,2,7.689,54.17,1
warmup_scan_normal,A,normal,0,4,7.211,50.19,1
warmup_scan_normal,A,normal,60,4,7.456,51.08,1
warmup_scan_normal,A,normal,120,4,7.494,51.23,1
warmup_scan_normal,A,normal,0,6,7.761,52.64,1
warmup_scan_normal,A,normal,60,6,8.028,54.41,1
warmup_scan_normal,A,normal,120,6,8.000,54.34,1
warmup_scan_normal,A,normal,0,8,8.294,55.48,1
warmup_scan_normal,A,normal,60,8,8.406,54.82,1
warmup_scan_normal,A,normal,120,8,8.572,55.99,1
warmup60_four_seed,A,zero-accel,60,2,7.815,54.80,4
warmup60_four_seed,A,normal,60,2,7.803,54.72,4
warmup60_four_seed,A,zero-accel,60,4,7.364,50.81,4
warmup60_four_seed,A,normal,60,4,7.316,50.12,4
warmup60_four_seed,A,zero-accel,60,6,7.839,53.04,4
warmup60_four_seed,A,normal,60,6,7.858,53.26,4
warmup60_four_seed,A,zero-accel,60,8,8.275,54.62,4
warmup60_four_seed,A,normal,60,8,8.420,54.91,4
